crc32,name,filename,size,platform,region,status,alt_filenames,notes
CA23F40C,"Loony Balloon (no plus graphics, unreleased)",vp_54.bin,4096,VP,EU,not_tested,Loony Balloon (1983)(Philips)(EU)(proto).bin,
DC5AFAA2,Mathematician/Echo,vp_07.bin,2048,VP,EU,not_tested,Math-A-Magic + Echo (1980)(Philips)(EU-US).bin,
4F73B44C,modified by Rob Kudla,new_kc-pacman.bin,4096,VP,EU,not_tested,K.C. Munchkin (1982)(Philips)(US)[b].bin,
5F663FFC,modified by VPaC,new_jg-munchkin.bin,4096,VP,EU,not_tested,,
9E5EE195,modified version of kc-pacman (by me),new_kc-pacvid.bin,4096,VP,EU,not_tested,,
FEE664F3,Monkeyshines,vp_37.bin,4096,VP,EU,not_tested,Monkeyshines (1982)(Philips)(EU-US).bin,
2122012C,Morse,vp_45.bin,2048,VP,EU,not_tested,Morse (1983)(Philips)(EU).bin,
4A3E2DC8,Munchkin,vp_38.bin,4096,VP,EU,not_tested,Munchkin (1982)(Philips)(EU).bin,
AFB23F89,Musician,vp_31.bin,4096,VP,EU,not_tested,Musician (1981)(Philips)(EU).bin,
D03EFA86,"Neutron Star (Black hole, unreleased)",vp_55.bin,8192,VP,EU,not_tested,Neutron Star (1983)(Philips)(EU)(proto).bin,
BE11157C,Neutron Star +,vp_55_12.bin,12288,VP,EU,not_tested,,
2038F56C,Neutron Star + (bug fixed),vp_55_12fix.bin,12288,VP,EU,not_tested,,
85DFCDD7,Newscaster,vp_a.bin,2048,VP,EU,not_tested,Newscaster (1980)(Philips)(EU).bin,
313547EB,"Nightmare (phantom house, unreleased)",vp_53.bin,8192,VP,EU,not_tested,Nightmare (1983)(Philips)(EU).bin,
798E10BB,O2em version of Puzzle Piece Panic,new_ppp-o2em.bin,8192,VP,EU,not_tested,,
A69C2C93,Pairs/Space Rendezvous/Logic,vp_02.bin,2048,VP,EU,not_tested,Pairs + Space Rendezvous + Logic (1980)(Philips)(EU).bin,
7BE6F1EF,PAL prototype of Comando Noturno,pr_nightfighter.bin,8192,VP,EU,not_tested,Nightfighter (19xx)(-)(EU).bin,
EB61888F,pal_acrobats.bin,pal_acrobats.bin,4096,VP,EU,not_tested,,
DAAE02DC,pal_nimble-numbers-ned.bin,pal_nimble-numbers-ned.bin,4096,VP,EU,not_tested,,
5C02BEE6,pal_type-and-tell.bin,pal_type-and-tell.bin,4096,VP,EU,not_tested,,
35ACE4E8,Parker Brothers prototype,pr_spiderman.bin,8192,VP,EU,not_tested,Spider-Man (19xx)(Parker Brothers - Philips)(EU).bin,
0B2DEB61,Parker Brothers prototype,pr_tutankham.bin,8192,VP,EU,not_tested,Tutankham (19xx)(Parker Brothers)(EU).bin,
D0BC4EE6,pb_frogger.bin,pb_frogger.bin,8192,VP,EU,not_tested,Frogger (1983)(Parker Brothers)(EU).bin,
5216771A,pb_popeye.bin,pb_popeye.bin,8192,VP,EU,not_tested,Popeye (1983)(Parker Brothers)(EU).bin,
202F2749,pb_q-bert.bin,pb_q-bert.bin,8192,VP,EU,not_tested,Qbert (1983)(Parker Brothers)(EU).bin,
95936B07,pb_super-cobra.bin,pb_super-cobra.bin,8192,VP,EU,not_tested,Super Cobra (1983)(Parker Brothers)(EU).bin,
D62814A3,Pick Axe Pete,vp_43.bin,4096,VP,EU,not_tested,Pickaxe Pete (1982)(Philips)(EU-US).bin,
1C8368E7,Playschool Maths,vp_13.bin,2048,VP,EU,not_tested,I've Got Your Number (1980)(Philips)(EU-US).bin,
C06A3880,Pong with extra features,new_pong_all.bin,4096,VP,EU,not_tested,,
335481F1,pr_martian-threat_alt.bin,pr_martian-threat_alt.bin,8192,VP,EU,not_tested,Martian Threat (19xx)(Philips)(EU)[a].bin,
655FDF57,pr_mission-impossible.bin,pr_mission-impossible.bin,2048,VP,EU,not_tested,Missao Impossivel (19xx)(Ectron)(BR).bin,
1EEB88F5,pr_red-baron.bin,pr_red-baron.bin,8192,VP,EU,not_tested,Red Baron (19xx)(-)(EU).bin,
5C4F35D3,pr_red-baron_alt.bin,pr_red-baron_alt.bin,8192,VP,EU,not_tested,Red Baron (19xx)(-)(EU)[a].bin,
3E5F71F3,pr_spiderman_alt.bin,pr_spiderman_alt.bin,8192,VP,EU,not_tested,Spider-Man (19xx)(Parker Brothers - Philips)(EU)[a].bin,
9451BE1E,Quest for the Rings,vp_42.bin,4096,VP,EU,not_tested,Quest for the Rings (1981)(Philips)(EU-US).bin,
4EDA4917,Race/Spin-out/Cryptogram,vp_01.bin,2048,VP,EU,not_tested,Speedway + Spin-out + Crypto-logic (1978)(Philips)(EU-US).bin,
96ADC96C,Race/Spin-out/Cryptogram  (color hack),vp_01hack.bin,2048,VP,EU,not_tested,,
7810BAD5,Samurai,vp_15.bin,2048,VP,EU,not_tested,Samurai (1980)(Philips)(EU).bin,
395629E1,Satellite Attack,vp_34.bin,2048,VP,EU,playable,Satellite Attack (1981)(Philips)(EU).bin,
7394E82C,Secret of the Pharaohs,vp_21.bin,2048,VP,EU,not_tested,Secret of the Pharaohs (1980)(Philips)(EU).bin,
4663C4B6,Skiing,vp_25.bin,2048,VP,EU,not_tested,Alpine Skiing (1980)(Philips)(EU-US).bin,
71AE8533,Space Monster,vp_22.bin,2048,VP,EU,not_tested,Alien Invaders - Plus (1980)(Philips)(EU-US).bin,
DDBA0ED2,Space Monster (color hack),vp_22hack.bin,2048,VP,EU,not_tested,,
44D1A8A5,Stone Sling,vp_20.bin,2048,VP,EU,not_tested,Stone Sling (1980)(Philips)(EU).bin,
9585D511,Super Bee,vp_50.bin,4096,VP,EU,not_tested,Super Bee (1983)(Philips)(EU).bin,
11FF50AD,Take the Money and Run,vp_12.bin,2048,VP,EU,not_tested,Take the Money and Run (1980)(Philips)(EU-US).bin,
084EE035,Tenpin Bowling/Basketball,vp_06.bin,2048,VP,EU,not_tested,Bowling + Basketball (1980)(Philips)(EU-US).bin,
